ID		from		to
692	;	5334 JP	;	7269 JP
693	;	5334 JP	;	7270 JP
694	;	5334 JP	;	7272 JP
695	;	5334 JP	;	BMW GR
696	;	5334 JP	;	DAI GR
697	;	5334 JP	;	F US
698	;	5334 JP	;	GM US
699	;	5334 JP	;	RNO FP
700	;	5334 JP	;	STLA US
701	;	5334 JP	;	UG FP
702	;	5334 JP	;	VOW GR
703	;	5607 JP	;	7203 JP
704	;	5607 JP	;	7205 JP
705	;	5644 JP	;	5406 JP
706	;	5644 JP	;	7203 JP
707	;	5802 JP	;	000270 KS
708	;	5802 JP	;	005380 KS
709	;	5802 JP	;	6503 JP
710	;	5802 JP	;	6701 JP
711	;	5802 JP	;	6902 JP
712	;	5802 JP	;	7201 JP
713	;	5802 JP	;	7203 JP
714	;	5802 JP	;	7261 JP
715	;	5802 JP	;	7267 JP
716	;	5802 JP	;	7270 JP
717	;	5802 JP	;	9020 JP
718	;	5802 JP	;	9432 JP
719	;	5802 JP	;	9437 JP
720	;	5802 JP	;	AAPL US
721	;	5802 JP	;	BMW GR
722	;	5802 JP	;	GM US
723	;	5802 JP	;	RNO FP
724	;	5802 JP	;	STLA US
725	;	5802 JP	;	UG FP
726	;	5802 JP	;	VOW GR
727	;	5852 JP	;	6201 JP
728	;	5852 JP	;	6326 JP
729	;	5852 JP	;	6501 JP
730	;	5852 JP	;	6902 JP
731	;	5852 JP	;	7201 JP
732	;	5852 JP	;	7202 JP
733	;	5852 JP	;	7203 JP
734	;	5852 JP	;	7205 JP
735	;	5852 JP	;	7211 JP
736	;	5852 JP	;	7259 JP
737	;	5852 JP	;	7267 JP
738	;	5852 JP	;	7269 JP
739	;	5852 JP	;	7270 JP
740	;	5852 JP	;	7272 JP
741	;	5852 JP	;	DAI GR
742	;	5852 JP	;	GM US
743	;	5852 JP	;	MG CN
744	;	5852 JP	;	MSIL IN
745	;	5852 JP	;	STLA US
746	;	5852 JP	;	VOW GR
747	;	5949 JP	;	600006 CH
748	;	5949 JP	;	7201 JP
749	;	5949 JP	;	7202 JP
750	;	5949 JP	;	7203 JP
751	;	5949 JP	;	7205 JP
752	;	5949 JP	;	7211 JP
753	;	5949 JP	;	7222 JP
754	;	5949 JP	;	7259 JP
755	;	5949 JP	;	7261 JP
756	;	5949 JP	;	7267 JP
